City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Santa Rosa,PH,14.3122,121.1114,82.11,90,100,5.21,overcast clouds
284,Sertania,BR,-8.0736,-37.2644,77.52,57,63,12.01,broken clouds
285,Waingapu,ID,-9.6567,120.2641,72.19,82,100,10.69,overcast clouds
286,Algiers,DZ,36.7525,3.042,82.22,54,0,8.05,clear sky
287,Margate,GB,51.3813,1.3862,65.3,71,100,4.0,overcast clouds
288,San Vicente,AR,-26.6167,-54.1333,73.54,52,100,3.44,overcast clouds
289,Quesnel,CA,52.9999,-122.5029,91.83,31,0,2.55,clear sky
290,Santa Flavia,IT,38.085,13.5351,84.38,60,0,4.0,clear sky
291,Arauco,CL,-37.2463,-73.3175,57.18,68,0,4.9,clear sky
292,Flin Flon,CA,54.7682,-101.865,79.56,26,30,3.04,scattered clouds
293,Kande,TG,9.9578,1.0447,73.44,93,100,5.03,overcast clouds
294,Dryden,CA,49.7833,-92.7503,64.69,77,75,5.75,broken clouds
295,Pisco,PE,-13.7,-76.2167,64.45,72,40,9.22,scattered clouds
296,Nioaque,BR,-21.1353,-55.83,92.86,17,6,8.21,clear sky
297,Esperance,AU,-33.8667,121.9,57.16,81,1,12.37,clear sky
298,Tanete,ID,-3.9443,119.7848,73.65,94,94,5.97,overcast clouds
299,Bubaque,GW,11.2833,-15.8333,79.99,83,45,12.88,scattered clouds
300,Penzance,GB,50.1186,-5.5371,65.08,76,45,4.65,scattered clouds
301,Macomer,IT,40.262,8.7699,68.41,62,0,3.76,clear sky
302,Hami,CN,42.8,93.45,86.86,11,46,14.61,scattered clouds
303,Maceio,BR,-9.6658,-35.7353,76.44,88,75,9.22,broken clouds
304,Zhangye,CN,38.9342,100.4517,72.73,31,2,8.01,clear sky
305,Matara,LK,5.9485,80.5353,77.22,92,100,6.29,overcast clouds
306,Balkanabat,TM,39.5108,54.3671,86.38,50,9,7.63,clear sky
307,Huarmey,PE,-10.0681,-78.1522,68.65,69,13,10.98,few clouds
308,Impfondo,CG,1.6381,18.0667,72.46,91,100,3.15,overcast clouds
309,Gobabis,NA,-22.45,18.9667,64.78,26,82,11.9,broken clouds
310,Changli,CN,39.7042,119.1506,72.37,91,100,3.36,light rain
311,Busembatia,UG,0.7697,33.6131,66.4,88,100,1.59,light rain
312,Meulaboh,ID,4.1363,96.1285,75.61,89,100,2.19,light rain
313,Bagdarin,RU,54.4333,113.6,50.7,99,100,2.84,overcast clouds
314,Gilgit,PK,35.9221,74.3087,82.87,62,61,4.23,broken clouds
315,Norrtalje,SE,59.758,18.705,59.85,64,23,3.44,few clouds
316,Haines Junction,CA,60.7522,-137.5108,50.9,88,100,1.43,overcast clouds
317,San Quintin,MX,30.4833,-115.95,74.26,66,9,12.82,clear sky
318,Ambunti,PG,-4.2365,142.8448,71.98,100,36,1.01,scattered clouds
319,Ligayan,PH,4.6533,119.4706,83.12,68,99,3.56,overcast clouds
320,Bridlington,GB,54.0831,-0.1919,63.9,82,100,12.68,overcast clouds
321,Korla,CN,41.7597,86.1469,90.88,16,99,15.79,overcast clouds
322,Umm Lajj,SA,25.0213,37.2685,90.09,41,99,7.92,overcast clouds
323,Laizhou,CN,37.1717,119.9214,75.31,94,100,4.59,overcast clouds
324,Deputatskiy,RU,69.3,139.9,50.23,55,100,4.29,overcast clouds
325,Sainte-Julienne,CA,45.9668,-73.7159,79.54,82,89,9.71,moderate rain
326,Afsin,TR,38.2477,36.914,70.68,19,0,3.22,clear sky
327,Nouadhibou,MR,20.931,-17.0347,73.85,76,0,30.91,clear sky
328,Certesti,RO,46.0167,27.6167,71.13,62,100,8.03,overcast clouds
329,Ayr,GB,55.4627,-4.6339,60.78,82,75,4.61,broken clouds
330,Jerantut,MY,3.936,102.3626,74.32,99,97,0.74,overcast clouds
331,Sistranda,NO,63.7256,8.834,55.36,66,94,6.31,overcast clouds
332,Tezu,IN,27.9167,96.1667,74.17,96,35,3.22,scattered clouds
333,Port Augusta,AU,-32.5,137.7667,46.04,47,84,7.0,broken clouds
334,Tautira,PF,-17.7333,-149.15,77.34,77,23,24.23,light rain
335,Arrecife,ES,28.963,-13.5477,75.18,73,40,25.32,scattered clouds
336,Pangnirtung,CA,66.1451,-65.7125,52.72,73,68,5.77,broken clouds
337,Iqaluit,CA,63.7506,-68.5145,62.53,36,90,15.35,overcast clouds
338,Biltine,TD,14.5333,20.9167,84.11,59,31,10.18,scattered clouds
339,Najran,SA,17.4924,44.1277,84.65,35,13,4.81,few clouds
