City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,Ligayan,PH,83.12,overcast clouds,4.6533,119.4706,
323,Laizhou,CN,75.31,overcast clouds,37.1717,119.9214,GreenTree Inn Yantai Laizhou South Road Unicom Building Express Hotel
325,Sainte-Julienne,CA,79.54,moderate rain,45.9668,-73.7159,Camping Belle-Vie
334,Tautira,PF,77.34,light rain,-17.7333,-149.15,Pension Oaoa
335,Arrecife,ES,75.18,scattered clouds,28.963,-13.5477,Hotel Lancelot
338,Biltine,TD,84.11,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
339,Najran,SA,84.65,few clouds,17.4924,44.1277,محمد هادي ال فطيح
340,Dawei,MM,76.91,overcast clouds,14.0833,98.2,Hotel Dawei
342,Lubao,PH,80.31,overcast clouds,14.9167,120.55,Hacienda Gracia
343,Tukrah,LY,80.2,clear sky,32.5341,20.5791,Lagrota restaurant
